asset_id,asset_class,scope,origin_or_source,version_or_revision,license_or_terms,modification_status,redistribution_decision,evidence_paths,last_reviewed,review_status,notes
DEP-RANK-BM25,dependency,"E03 and P03 deterministic retrieval reference",https://github.com/dorianbrown/rank_bm25,0.2.2,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/E03_RAG实验/e03_rag_reference/pyproject.toml",2026-07-18,review-required,"Package source and license must be verified before redistribution beyond dependency metadata."
DEP-UVICORN,dependency,"E02 and P03 ASGI runtime",https://github.com/encode/uvicorn,0.35.0,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/E02_后端API实验/e02_service/pyproject.toml",2026-07-18,review-required,"Version is pinned; license has not been verified into repository evidence."
DEP-LOCUST,dependency,"P03 load-test development dependency",https://github.com/locustio/locust,2.45.0,unknown,not-vendored,dependency-reference-only-review-required,"50_项目产出/P03_AI_Workload_Platform/p03_service/pyproject.toml",2026-07-18,review-required,"Version is pinned; license has not been verified into repository evidence."
DEP-PANDAS,dependency,"Finance reference",https://github.com/pandas-dev/pandas,2.3.3,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/GF10_金融工程全阶段实验候选/finance_reference/pyproject.toml",2026-07-18,review-required,"Version is pinned; license has not been verified into repository evidence."
DEP-SKLEARN,dependency,"Finance reference tests",https://github.com/scikit-learn/scikit-learn,1.9.0,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/GF10_金融工程全阶段实验候选/finance_reference/pyproject.toml",2026-07-18,review-required,"Version is pinned; license has not been verified into repository evidence."
DEP-POSTGRES-IMAGE,dependency,"P03 Compose and kind database image",https://hub.docker.com/_/postgres,17.5-alpine-digest-pinned,unknown,not-vendored,container-reference-only-review-required,"50_项目产出/P03_AI_Workload_Platform/p03_service/compose.yaml",2026-07-18,review-required,"Image digest is pinned; image and bundled component terms require separate review."
DEP-REDIS-IMAGE,dependency,"P03 Compose and kind queue image",https://hub.docker.com/_/redis,8.0.3-alpine-digest-pinned,unknown,not-vendored,container-reference-only-review-required,"50_项目产出/P03_AI_Workload_Platform/p03_service/compose.yaml",2026-07-18,review-required,"Image digest is pinned; image and bundled component terms require separate review."
DEP-KIND-NODE,dependency,"E09 disposable Kubernetes node image",https://hub.docker.com/r/kindest/node,1.34.8-digest-pinned,unknown,not-vendored,container-reference-only-review-required,"40_实验练习/E09_K8s实验/kind_reference/README.md",2026-07-18,review-required,"Image digest is pinned; image composition and redistribution terms are not asserted."
TOOL-MARKDOWNLINT,tool,"Markdown structural audit",https://github.com/DavidAnson/markdownlint-cli2,0.23.0,unknown,not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/run_content_quality_audit.ps1",2026-07-18,review-required,"Invoked through npx; license evidence has not been copied into this repository."
TOOL-ZHLINT,tool,"Chinese prose formatting audit",https://github.com/zhlint-project/zhlint,0.8.2,unknown,not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/run_content_quality_audit.ps1",2026-07-18,review-required,"Invoked through npx; results are advisory."
TOOL-VALE,tool,"Prose style audit",https://github.com/errata-ai/vale,3.15.1,unknown,locally-downloaded-not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/install_open_source_checkers.ps1",2026-07-18,review-required,"Installer verifies archive hash; license terms still need evidence before redistribution."
TOOL-LYCHEE,tool,"External link audit",https://github.com/lycheeverse/lychee,0.24.2,unknown,locally-downloaded-not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/install_open_source_checkers.ps1",2026-07-18,review-required,"Installer verifies archive hash; license terms still need evidence before redistribution."
TOOL-CODESPELL,tool,"Spelling audit",https://github.com/codespell-project/codespell,2.4.2,unknown,locally-downloaded-not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/install_open_source_checkers.ps1",2026-07-18,review-required,"Installer verifies wheel hash; license terms still need evidence before redistribution."
TOOL-GITLEAKS,tool,"Tracked-history private-key scan",https://github.com/gitleaks/gitleaks,8.30.1,unknown,locally-downloaded-not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/install_open_source_checkers.ps1",2026-07-18,review-required,"Installer verifies archive hash; current scan scope is not a complete secret-class guarantee."
TOOL-JSCPD,tool,"Textbook duplication candidate scan",https://github.com/kucherenko/jscpd,5.0.12,unknown,not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/run_content_quality_audit.ps1",2026-07-18,review-required,"Invoked through npx; duplicate groups require human review."
TOOL-MERMAID,tool,"Mermaid render validation",https://github.com/mermaid-js/mermaid-cli,11.16.0,unknown,not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/validate_mermaid.ps1",2026-07-18,review-required,"Invoked through npx; rendering does not establish diagram accessibility."
TOOL-KIND,tool,"Disposable Kubernetes cluster creation",https://github.com/kubernetes-sigs/kind,0.32.0,unknown,locally-downloaded-not-vendored,tool-reference-only-review-required,"40_实验练习/E09_K8s实验/kind_reference/scripts/install_kind.ps1",2026-07-18,review-required,"Installer verifies binary hash; license evidence has not been copied into this repository."
VENDOR-OBSIDIAN-REST-001,dependency,"Vendored Obsidian Local REST API plugin bundle",https://github.com/coddingtonbear/obsidian-local-rest-api,4.1.3,MIT,vendored-build,approved,".obsidian/plugins/obsidian-local-rest-api/manifest.json;.obsidian/plugins/obsidian-local-rest-api/LICENSE",2026-07-18,verified,"Upstream MIT license and copyright notice are preserved beside the tracked bundle. Runtime data.json files remain ignored and are not redistribution assets."
