document,source_file,chapter,start_line,end_line,declared_content_type,candidate_content_type,candidate_content_type_source,candidate_official_profile,heading_context,heading_prerequisites,heading_procedure,heading_expected_result,heading_troubleshooting,heading_cleanup,heading_summary,heading_next_steps,role_objectives,role_examples,role_counterexamples,role_practice,role_acceptance,role_sources,numbered_step_count,stateful_candidate,code_fence_count,tagged_code_fence_count,untagged_code_fence_count,review_flags
10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,第 4 章：协方差、相关性和组合风险,361,479,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,True,False,False,False,True,True,True,True,True,True,4,False,5,0,5,candidate_missing_explicit_prerequisites
10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,第 5 章：Sharpe ratio 的使用边界,480,577,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,True,False,False,False,True,True,True,True,True,True,4,False,4,0,4,candidate_missing_explicit_prerequisites
10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,第 6 章：两资产风险收益曲线,578,669,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,False,False,False,False,True,True,False,True,True,True,4,False,3,0,3,candidate_missing_explicit_prerequisites
10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,第 7 章：把 F03 接入 P03,670,731,design-note,design-note,explicit_local_metadata,design-note,True,False,False,True,False,False,False,False,True,False,False,False,True,False,0,False,3,0,3,
10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md,10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md,第 1 章：衍生品和 payoff,128,205,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,True,False,False,True,False,0,False,3,0,3,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md,10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md,第 2 章：Black-Scholes 输入输出,206,348,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,False,True,False,False,False,True,True,True,False,False,False,0,False,5,0,5,candidate_missing_explicit_practice;candidate_missing_explicit_acceptance;candidate_missing_explicit_sources
10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md,10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md,第 3 章：Monte Carlo 定价,349,560,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,False,True,False,False,False,True,True,True,True,False,False,4,False,6,0,6,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_explicit_acceptance;candidate_missing_explicit_sources
10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md,10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md,第 4 章：参数敏感性和 Greeks 直觉,561,658,instructional,instructional,explicit_local_metadata,tutorial-like,False,True,True,True,False,False,True,True,True,True,False,True,True,True,0,False,2,1,1,
10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md,10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md,第 5 章：pricing_task 字段设计,659,762,design-note,design-note,explicit_local_metadata,design-note,True,False,True,False,False,False,False,False,True,False,False,True,False,False,0,False,4,0,4,
10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md,10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md,第 1 章：债券是一组现金流,117,206,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,False,True,False,False,False,True,True,True,False,False,True,0,False,2,0,2,candidate_missing_explicit_practice;candidate_missing_explicit_acceptance
10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md,10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md,第 2 章：折现和债券现值,207,306,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,False,False,False,False,False,True,True,False,True,False,True,0,False,4,0,4,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_explicit_acceptance
10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md,10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md,第 3 章：YTM 的直觉和数值求解,307,476,instructional,instructional,explicit_local_metadata,tutorial-like,False,True,True,True,True,False,True,True,True,True,True,True,True,True,0,False,7,3,4,
10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md,10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md,第 4 章：久期、凸性和价格近似,477,613,instructional,instructional,explicit_local_metadata,tutorial-like,False,True,True,True,False,False,True,True,True,True,False,True,True,True,0,False,6,0,6,
10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md,10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md,第 5 章：利率数据和 fixed_income_task,614,765,design-note,design-note,explicit_local_metadata,design-note,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,False,5,0,5,
10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,第 1 章：量化研究流程不是收益曲线,114,178,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,False,True,False,False,False,True,False,True,False,False,False,0,False,3,0,3,candidate_missing_explicit_examples;candidate_missing_explicit_practice;candidate_missing_explicit_acceptance;candidate_missing_explicit_sources
10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,第 2 章：数据、信号、仓位和收益,179,276,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,True,False,False,True,False,0,False,4,0,4,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,第 3 章：moving average signal 的最小回测,277,338,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,True,False,False,False,True,True,True,False,True,False,0,False,3,0,3,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,第 4 章：交易成本、换手率和市场摩擦,339,435,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,True,False,False,True,False,0,False,6,0,6,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,第 5 章：回测风险指标和报告,436,514,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,True,False,False,True,False,0,False,2,0,2,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,第 6 章：数据泄漏和回测偏差,515,667,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,False,False,False,False,False,True,True,True,False,True,True,0,False,6,2,4,candidate_missing_explicit_practice
10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md,第 7 章：把 F06 接入 P03,668,749,design-note,design-note,explicit_local_metadata,design-note,True,False,False,True,True,False,False,False,True,False,True,False,True,False,0,False,2,0,2,
10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,第 1 章：金融 ML 不是先上模型,129,186,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,False,True,False,False,False,True,False,True,False,False,False,0,False,3,0,3,candidate_missing_explicit_examples;candidate_missing_explicit_practice;candidate_missing_explicit_acceptance;candidate_missing_explicit_sources
10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,第 2 章：label、feature 和时间口径,187,402,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,False,False,False,True,False,0,False,10,0,10,candidate_missing_explicit_examples;candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,第 3 章：时间切分和 TimeSeriesSplit,403,540,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,True,False,False,True,False,0,False,7,0,7,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,第 4 章：baseline 先于复杂模型,541,691,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,False,False,False,True,False,0,False,9,0,9,candidate_missing_explicit_examples;candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,第 5 章：指标、混淆矩阵和失败样例,692,803,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,True,False,False,True,False,0,False,3,0,3,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,第 6 章：数据泄漏和模型风险,804,906,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,False,False,False,True,False,0,False,4,0,4,candidate_missing_explicit_examples;candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,10_学习模块\F07_金融机器学习与模型风险\F07_金融机器学习与模型风险_适配教材.md,第 7 章：模型卡和 P03 评测任务,907,1005,design-note,design-note,explicit_local_metadata,design-note,True,False,False,True,False,False,False,False,True,False,False,False,True,False,0,False,3,0,3,
10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,第 1 章：金融脚本为什么要变成 task,114,186,design-note,design-note,explicit_local_metadata,design-note,True,False,True,False,True,False,False,False,True,False,True,True,False,False,0,False,3,0,3,
10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,第 2 章：统一 Task Envelope,187,301,design-note,design-note,explicit_local_metadata,design-note,True,False,False,False,True,False,False,False,True,False,True,False,False,False,0,False,4,0,4,
10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,第 3 章：risk_metric_task 和 portfolio_task,302,413,design-note,design-note,explicit_local_metadata,design-note,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,False,3,0,3,
10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,第 4 章：backtest_task 和 model_risk_task,414,570,design-note,design-note,explicit_local_metadata,design-note,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,4,0,4,
10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,第 5 章：data_quality_task 和 finance_rag_query,571,658,design-note,design-note,explicit_local_metadata,design-note,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,3,0,3,
10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,第 6 章：三类指标必须分开,659,719,design-note,design-note,explicit_local_metadata,design-note,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0,False,3,0,3,
10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,第 7 章：接口 walkthrough：从风险脚本到候选 task,720,823,design-note,design-note,explicit_local_metadata,design-note,True,False,False,True,False,False,False,False,True,False,False,False,True,False,0,False,4,0,4,
10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,10_学习模块\F08_金融工程任务与AI_Workload接口\F08_金融工程任务与AI_Workload接口_适配教材.md,第 8 章：F08 到 X02 的激活条件,824,857,appendix,appendix,explicit_local_metadata,appendix,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,1,0,1,
10_学习模块\M00_工具链与计算机基础\M00_工具链与计算机基础_适配教材.md,10_学习模块\M00_工具链与计算机基础\M00_工具链与计算机基础_适配教材.md,第 0 章：开始前的环境要求,47,101,instructional,instructional,explicit_local_metadata,concept-like,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,4,0,4,candidate_missing_explicit_context;candidate_missing_explicit_objectives;candidate_missing_explicit_examples;candidate_missing_explicit_practice;candidate_missing_explicit_acceptance;candidate_missing_explicit_sources
10_学习模块\M00_工具链与计算机基础\M00_工具链与计算机基础_适配教材.md,10_学习模块\M00_工具链与计算机基础\M00_工具链与计算机基础_适配教材.md,第 1 章：为什么工程学习必须先学工具链,102,164,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,True,2,0,2,candidate_missing_explicit_examples;candidate_missing_explicit_practice;candidate_missing_explicit_acceptance;candidate_missing_explicit_sources
10_学习模块\M00_工具链与计算机基础\M00_工具链与计算机基础_适配教材.md,10_学习模块\M00_工具链与计算机基础\M00_工具链与计算机基础_适配教材.md,第 2 章：Shell、目录和路径,165,331,instructional,instructional,explicit_local_metadata,tutorial-like,False,False,True,False,True,False,False,False,False,True,True,False,False,True,3,True,11,0,11,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_cleanup_for_stateful_work;candidate_missing_explicit_objectives;candidate_missing_explicit_practice;candidate_missing_explicit_acceptance
10_学习模块\M00_工具链与计算机基础\M00_工具链与计算机基础_适配教材.md,10_学习模块\M00_工具链与计算机基础\M00_工具链与计算机基础_适配教材.md,第 3 章：Python 解释器、pip 和虚拟环境,332,517,instructional,instructional,explicit_local_metadata,concept-like,False,False,False,False,True,False,False,False,False,True,True,False,False,True,0,True,14,0,14,candidate_missing_explicit_context;candidate_missing_explicit_objectives;candidate_missing_explicit_practice;candidate_missing_explicit_acceptance
10_学习模块\M00_工具链与计算机基础\M00_工具链与计算机基础_适配教材.md,10_学习模块\M00_工具链与计算机基础\M00_工具链与计算机基础_适配教材.md,第 4 章：Git 的真正作用,518,674,instructional,instructional,explicit_local_metadata,tutorial-like,False,False,False,False,True,False,False,False,False,True,True,False,False,True,4,False,5,0,5,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_explicit_objectives;candidate_missing_explicit_practice;candidate_missing_explicit_acceptance
