"file","area","review_state","content_status","implementation_status","verification_status","ownership","instructional_readiness","learner_validation","risk","learning_blocker","action","reason","dependency","acceptance"
"00_路线总控\金融工程与量化金融支线路线.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\00_主页.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留","现行入口、任务状态和多轴成熟度已与矩阵及统一门禁对齐","","保持文档、代码、测试和状态一致"
"00_路线总控\看板与索引\01_当前阶段任务看板.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留","现行入口、任务状态和多轴成熟度已与矩阵及统一门禁对齐","","保持文档、代码、测试和状态一致"
"00_路线总控\看板与索引\02_路线总览索引.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\03_学习模块索引.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\04_项目实验索引.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\05_资料处理流水线.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\06_搭建计划与逐区检查.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\07_库结构说明与检查清单.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\08_学习模块建设状态表.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留","现行入口、任务状态和多轴成熟度已与矩阵及统一门禁对齐","","保持文档、代码、测试和状态一致"
"00_路线总控\看板与索引\09_第二阶段建设优先级清单.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\10_F系列第一阶段实验执行表.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\11_Claude审核交接文档.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\12_审计接力交接文档.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\看板与索引\13_M05精准增强交接文档.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\两个月快速上手路线.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\模板\论文阅读模板.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\模板\实验记录模板.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\模板\项目主页模板.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\模板\学习模块编写规范.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\模板\学习模块模板.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\模板\知识卡片模板.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\模板\周计划模板.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\模板\资料卡模板.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\审计与整改\00_整改总控.md","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\02_状态与验收规则.md","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\03_验证清单.md","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\04_变更日志.md","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\05_教材内容质量大检查报告_2026-07-11.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/按优先级整改","开源工具交叉审计报告，已区分确认缺陷、风格建议和网络不确定项","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\06_教材教学有效性与工具复核报告_2026-07-11.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/按优先级整改","章节级教学有效性、工具选型、实跑证据和剩余整改顺序已复核","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\07_教材章节质量契约.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/逐步结构化","目标、练习、来源、代码角色和门禁分级工作契约","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\08_自学教材规范符合性与首批改造报告_2026-07-12.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/按证据更新","自学规范映射、首批改造证据、适用边界和后续优先级已复核","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\09_权威技术学习文档格式对标与教材内容检查_2026-07-12.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留为历史报告","2026-07-12 对 22 份教材、202 章的历史检查；现行 210 章证据见 2026-07-18 artifact","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\10_教材知识覆盖工程强度科研基础与讲解质量审计_2026-07-13.md","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\12_优化方案二次完整性复核与Wave0实施报告_2026-07-18.md","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\artifacts\content_quality_audit_2026-07-11\README.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留","Markdown/Zhlint/Vale/Lychee 全库原始审计证据","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\artifacts\governance\optimization_matrix_status_audit_2026-07-18.md","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\artifacts\governance\optimization_matrix_status_audit_2026-07-19.md","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\artifacts\governance\README.md","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\artifacts\m05_split_2026-07-11\README.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留","M05 无损拆分的原始行区间、迁移瞬时哈希和使用说明","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\artifacts\official_docs_content_audit_2026-07-12\README.md","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留为历史快照","2026-07-12 的 202 章历史 JSON/CSV；现行 210 章见 2026-07-18 artifact","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\bootstrap_reference_envs.ps1","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\analyze_official_docs_structure.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\analyze_pedagogy_quality.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\analyze_textbook_quality.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\install_open_source_checkers.ps1","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\prepare_zhlint_input.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\run_content_quality_audit.ps1","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\styles\AIInfra\DeprecatedRuntime.yml","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\styles\AIInfra\Placeholders.yml","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\styles\AIInfra\ResearchClaims.yml","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\styles\AIInfra\Terminology.yml","00_路线总控","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\test_analyze_official_docs_structure.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\test_analyze_pedagogy_quality.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\content_quality\validate_mermaid.ps1","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","固定版本开源内容质量检查器、配置和分析脚本已完成全库运行","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\rebuild_remediation_matrix.ps1","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","逐文件覆盖与自动分诊清单生成器已执行；未复核文件保持 unassessed/unknown","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\run_full_validation.ps1","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","十套 Python 3.13 reference 共 386 项测试，逐项目期望数与总数由统一门禁校验，并覆盖编码、内容、Mermaid、编译和发布候选 diff","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\split_m05_textbook.ps1","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","M05 7826 行源文件已按固定边界拆分，迁移 manifest 与哈希已生成","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\validate_encoding.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","UTF-8、乱码字符、路径规范化和名称冲突门禁已通过","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\validate_file_matrix.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","逐文件覆盖清单的列、状态、唯一路径、未知值约束和仓库覆盖门禁已通过","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\validate_optimization_matrix.py","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\validate_provenance_ledger.py","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\validate_repository.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","Markdown code fence and formal WikiLink validator passed","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\validate_rq01_artifacts.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","RQ01 发布文件 SHA-256、压缩快照安全路径、成员覆盖和逐文件哈希门禁","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\validate_structured_data.py","00_路线总控","rule-reviewed","content-reviewed","executable","verified","reference","not-assessed","not-evaluated","low","否","保留","JSON、TOML 和 CSV 结构解析门禁；CSV 禁止空记录和列宽漂移","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\tools\validate_version_manifest.py","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\审计与整改\学习路线教材与内容审计报告_2026-07-10.md","00_路线总控","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","人工复核","整改控制文件已纳入覆盖清单，但未由路径规则授予内容成熟度或低风险结论","","保持文档、代码、测试和状态一致"
"00_路线总控\市场岗位能力地图.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\资料筛选与学习规则.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\总路线图_AI_Infra方向.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"10_学习模块\00_学习模块阅读指南.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续教程闭环","首批教学闭环和局部可执行证据已复核，入口与章级类型已完成；章内来源和首次教学证据仍不均匀","","按 instructional 章补 worked example、来源、反馈和章末衔接后评估 content-reviewed"
"10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续教程闭环","首批教学闭环和局部可执行证据已复核，入口与章级类型已完成；章内来源和首次教学证据仍不均匀","","按 instructional 章补 worked example、来源、反馈和章末衔接后评估 content-reviewed"
"10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续教程闭环","Wave 0 事实、安全和跨章契约已修复，Wave 1 入口和章级类型已完成；worked example、章内来源或教程反馈仍未全部达到 content-reviewed","","补齐对应 instructional 章的示例、来源、反馈与清理后逐章评估 content-reviewed"
"10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续教程闭环","Wave 0 事实、安全和跨章契约已修复，Wave 1 入口和章级类型已完成；worked example、章内来源或教程反馈仍未全部达到 content-reviewed","","补齐对应 instructional 章的示例、来源、反馈与清理后逐章评估 content-reviewed"
"10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/按 09 报告修订","210 章已人工归类，其中 166 章为 instructional，且 22 份入口齐全；对应 instructional 文档闭环尚未全部达到 content-reviewed","","完成 09 报告 Wave 2-3 项并通过人工语义复核"
"10_学习模块\F04_衍生品定价与随机过程导论\F04_衍生品定价与随机过程导论_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续教程闭环","Wave 0 事实、安全和跨章契约已修复，Wave 1 入口和章级类型已完成；worked example、章内来源或教程反馈仍未全部达到 content-reviewed","","补齐对应 instructional 章的示例、来源、反馈与清理后逐章评估 content-reviewed"
"10_学习模块\F05_固定收益与利率基础\F05_固定收益与利率基础_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
"10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_适配教材.md","10_学习模块","rule-reviewed","draft","not-applicable","unverified","reference","not-assessed","not-evaluated","medium","否","保留/继续教程闭环","Wave 0 事实、安全和跨章契约已修复，Wave 1 入口和章级类型已完成；worked example、章内来源或教程反馈仍未全部达到 content-reviewed","","补齐对应 instructional 章的示例、来源、反馈与清理后逐章评估 content-reviewed"
"10_学习模块\F06_量化研究与回测工程\F06_量化研究与回测工程_学习地图.md","10_学习模块","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留/随模块更新","模块入口、先修、产物、版本和完成边界已规范化","","保持文档、代码、测试和状态一致"
